Time in Seconds,Congestion Window,
1.64249,109880,
1.64339,110416,
1.64343,110952,
1.64433,111488,
1.64438,112024,
1.64528,112560,
1.64532,113096,
1.64622,113632,
1.64627,114168,
1.64717,114704,
1.64721,115240,
1.64811,115776,
1.64815,116312,
1.64905,116848,
1.6491,117384,
1.65,117920,
1.65004,118456,
1.65094,118992,
1.65099,119528,
1.65189,120064,
1.65193,120600,
1.65283,121136,
1.65287,121672,
1.65377,122208,
1.65382,122744,
1.65472,123280,
1.65476,123816,
1.65566,124352,
1.65571,124888,
1.65661,125424,
1.65665,125960,
1.65755,126496,
1.65759,127032,
1.65849,127568,
1.65854,128104,
1.65944,128640,
1.65948,129176,
1.66038,129712,
1.66043,130248,
1.66133,130784,
1.66137,131320,
1.66227,131856,
1.66231,132392,
1.66321,132928,
1.66326,133464,
1.66416,134000,
1.6642,134536,
1.6651,135072,
1.66515,135608,
1.66605,136144,
1.66609,136680,
1.80756,137216,
1.8076,137752,
1.80851,138288,
1.80855,138824,
1.80945,139360,
1.80949,139896,
1.81039,140432,
1.81044,140968,
1.81134,141504,
1.81138,142040,
1.81228,142576,
1.81232,143112,
1.81323,143648,
1.81327,144184,
1.81417,144720,
1.81421,145256,
1.81511,145792,
1.81516,146328,
1.81606,146864,
1.8161,147400,
1.817,147936,
1.81704,148472,
1.81795,149008,
1.81799,149544,
1.81889,150080,
1.81893,150616,
1.81983,151152,
1.81988,151688,
1.82078,152224,
1.82082,152760,
1.82172,153296,
1.82176,153832,
1.82267,154368,
1.82271,154904,
1.82361,155440,
1.82365,155976,
1.82455,156512,
1.8246,157048,
1.8255,157584,
1.82554,158120,
1.82644,158656,
1.82648,159192,
1.82739,159728,
1.82743,160264,
1.82833,160800,
1.82837,161336,
1.82927,161872,
1.82932,162408,
1.83022,162944,
1.83026,163480,
1.83116,164016,
1.8312,164552,
1.83211,165088,
1.83215,165624,
1.83305,166160,
1.83309,166696,
1.83399,167232,
1.83404,167768,
1.83494,168304,
1.83498,168840,
1.83588,169376,
1.83592,169912,
1.83683,170448,
1.83687,170984,
1.83777,171520,
1.83781,172056,
1.83871,172592,
1.83876,173128,
1.83966,173664,
1.8397,174200,
1.8406,174736,
1.84064,175272,
1.84155,175808,
1.84159,176344,
1.84249,176880,
1.84253,177416,
1.84343,177952,
1.84348,178488,
1.84438,179024,
1.84442,179560,
1.84532,180096,
1.84536,180632,
1.84627,181168,
1.84631,181704,
1.84721,182240,
1.84725,182776,
1.84815,183312,
1.8482,183848,
1.8491,184384,
1.84914,184920,
1.85004,185456,
1.85008,185992,
1.85099,186528,
1.85103,187064,
1.85193,187600,
1.85197,188136,
1.85287,188672,
1.85292,189208,
1.85382,189744,
1.85386,190280,
1.85476,190816,
1.8548,191352,
1.85571,191888,
1.85575,192424,
1.85665,192960,
1.85669,193496,
1.85759,194032,
1.85764,194568,
1.85854,195104,
1.85858,195640,
1.85948,196176,
1.85952,196712,
1.86043,197248,
1.86047,197784,
1.86137,198320,
1.86141,198856,
1.86231,199392,
1.86236,199928,
1.86326,200464,
1.8633,201000,
1.8642,201536,
1.86424,202072,
1.86515,202608,
1.86519,203144,
1.86609,203680,
1.86613,204216,
1.86703,204752,
1.86708,205288,
1.86798,205824,
1.86802,206360,
1.86892,206896,
1.86896,207432,
1.86987,207968,
1.86991,208504,
1.87081,209040,
1.87085,209576,
1.87175,210112,
1.8718,210648,
1.8727,211184,
1.87274,211720,
1.87364,212256,
1.87368,212792,
1.87459,213328,
1.87463,213864,
1.87553,214400,
1.87557,214936,
1.87647,215472,
1.87652,216008,
1.87742,216544,
1.87746,217080,
1.87836,217616,
1.8784,218152,
1.87931,218688,
1.87935,219224,
1.88025,219760,
1.88029,220296,
1.88119,220832,
1.88124,221368,
1.88214,221904,
1.88218,222440,
1.88308,222976,
1.88312,223512,
1.88403,224048,
1.88407,224584,
1.88497,225120,
1.88501,225656,
1.88591,226192,
1.88596,226728,
1.88686,227264,
1.8869,227800,
1.8878,228336,
1.88784,228872,
1.88875,229408,
1.88879,229944,
1.88969,230480,
1.88973,231016,
1.89063,231552,
1.89068,232088,
1.89158,232624,
1.89162,233160,
1.89252,233696,
1.89256,234232,
1.89347,234768,
1.89351,235304,
1.89441,235840,
1.89445,236376,
1.89535,236912,
1.8954,237448,
1.8963,237984,
1.89634,238520,
1.89724,239056,
1.89728,239592,
1.89819,240128,
1.89823,240664,
1.89913,241200,
1.89917,241736,
1.90007,242272,
1.90012,242808,
1.90102,243344,
1.90106,243880,
1.90196,244416,
1.902,244952,
1.90291,245488,
1.90295,246024,
1.90385,246560,
1.90389,247096,
1.90479,247632,
1.90484,248168,
1.90574,248704,
1.90578,249240,
1.90668,249776,
1.90672,250312,
1.90763,250848,
1.90767,251384,
1.90857,251920,
1.90861,252456,
1.90951,252992,
1.90956,253528,
1.91046,254064,
1.9105,254600,
1.9114,255136,
1.91144,255672,
1.91235,256208,
1.91239,256744,
1.91329,257280,
1.91333,257816,
1.91423,258352,
1.91428,258888,
1.91518,259424,
1.91522,259960,
1.91612,260496,
1.91616,261032,
1.91707,261568,
1.91711,262104,
1.91801,262640,
1.91805,263176,
1.91895,263712,
1.919,264248,
1.9199,264784,
1.91994,265320,
1.92084,265856,
1.92088,266392,
1.92179,266928,
1.92183,267464,
